Epoch 244 | Train Loss: 23.3333 | Val Loss: 436.3951 | Val MAE: 14.9330
Epoch 245 | Train Loss: 25.9022 | Val Loss: 427.8867 | Val MAE: 14.4219
Epoch 246 | Train Loss: 24.3165 | Val Loss: 473.4678 | Val MAE: 16.1362
Epoch 247 | Train Loss: 24.6801 | Val Loss: 440.8150 | Val MAE: 15.3626
Epoch 248 | Train Loss: 24.0020 | Val Loss: 451.4457 | Val MAE: 15.5368
Epoch 249 | Train Loss: 25.1043 | Val Loss: 425.2651 | Val MAE: 15.0140
Epoch 250 | Train Loss: 25.2962 | Val Loss: 465.1440 | Val MAE: 15.7595
Epoch 251 | Train Loss: 23.6862 | Val Loss: 420.0694 | Val MAE: 14.7936
Epoch 252 | Train Loss: 24.0459 | Val Loss: 453.8634 | Val MAE: 15.4866
Epoch 253 | Train Loss: 22.3942 | Val Loss: 426.3078 | Val MAE: 15.0927
Epoch 254 | Train Loss: 22.9748 | Val Loss: 431.1819 | Val MAE: 14.8572
Epoch 255 | Train Loss: 22.8399 | Val Loss: 438.4963 | Val MAE: 15.2982
Epoch 256 | Train Loss: 22.6626 | Val Loss: 449.9433 | Val MAE: 15.3587
Epoch 257 | Train Loss: 22.4217 | Val Loss: 433.3412 | Val MAE: 15.0839
Epoch 258 | Train Loss: 23.0059 | Val Loss: 438.0088 | Val MAE: 15.1069
Epoch 259 | Train Loss: 22.6701 | Val Loss: 431.5916 | Val MAE: 15.1074
Epoch 260 | Train Loss: 22.2627 | Val Loss: 449.5827 | Val MAE: 15.2819
Epoch 261 | Train Loss: 21.9870 | Val Loss: 449.0196 | Val MAE: 15.3440
Epoch 262 | Train Loss: 21.7954 | Val Loss: 449.2419 | Val MAE: 15.3366
Epoch 263 | Train Loss: 21.9417 | Val Loss: 452.3784 | Val MAE: 15.3584
Epoch 264 | Train Loss: 21.5824 | Val Loss: 452.9975 | Val MAE: 15.3225
Epoch 265 | Train Loss: 22.0804 | Val Loss: 448.0525 | Val MAE: 15.0632
Epoch 266 | Train Loss: 22.1748 | Val Loss: 453.5293 | Val MAE: 15.3654
Epoch 267 | Train Loss: 21.7722 | Val Loss: 459.0657 | Val MAE: 15.3769
Epoch 268 | Train Loss: 22.4591 | Val Loss: 438.1130 | Val MAE: 14.9162
Epoch 269 | Train Loss: 22.0441 | Val Loss: 449.7710 | Val MAE: 15.2725
Epoch 270 | Train Loss: 21.5670 | Val Loss: 456.0768 | Val MAE: 15.2566
Epoch 271 | Train Loss: 21.4976 | Val Loss: 451.3575 | Val MAE: 15.1246
Epoch 272 | Train Loss: 21.5695 | Val Loss: 462.6262 | Val MAE: 15.3875
Epoch 273 | Train Loss: 22.7509 | Val Loss: 470.7062 | Val MAE: 15.8852
Epoch 274 | Train Loss: 22.5234 | Val Loss: 463.1291 | Val MAE: 15.6120
